k,dir,t_start,duration,n,n_dropped,n_glitch,Vmin,Vmax,sigma_I,sigma_b,a_i,b_i,Vf,dVf,Vp,Te,Te_r2,Te_Vlo,Te_Vhi,Te_npts,Te_lo,Te_hi,te_alpha,te_beta,Ies,Iis,Iis_vf,ne,ni,lambdaD,Vp_expected,I_lo,I_hi,dIdV_max,hysteresis,flags
30,up,526.6749877929688,17.93902587890625,1457,0,0,-9.985608100891113,9.992658615112305,1.2006375295210093e-09,1.757072340313704e-09,-1.0549842962544618e-09,1.101687666655178e-09,-1.337034972743293,0.19783602515649573,,1.8018718769185167,0.9674010596043321,-1.087274432182312,3.4011054039001465,328.0,1.3021326958067367,2.6585098063995285,-18.47303852853676,0.554978415951614,1.6423698364140946e-07,-1.162716574567999e-08,-2.5279792356123897e-09,456433853235.322,5702805419062.027,0.014770397987617341,7.984473297257722,-1.2028944432101938e-08,1.7397894003727677e-07,2.5524690674326995e-08,0.96,vp_beyond_range;not_saturated;te_nonexponential
31,down,544.614013671875,17.9169921875,1457,0,0,-9.978821754455566,9.992658615112305,1.2193021015845842e-09,1.784993336204419e-09,-7.748284314222885e-09,6.00897049730925e-10,0.5287197369047965,0.1688965649110861,,2.103324062804614,0.994847362937298,0.5347862243652344,4.61444616317749,298.0,1.8379159593093188,2.428250750229369,-18.87639003747109,0.4754379116770909,1.7303300832057933e-07,-1.3283442764943253e-08,-7.430578184182282e-09,445086789837.0303,6030234449117.187,0.016160318314093217,11.40971127524599,-1.3202606535608442e-08,1.7117645328737774e-07,3.6097341607605766e-08,0.96,vp_beyond_range;not_saturated;te_nonexponential
32,up,562.531982421875,17.863037109375,1457,0,0,-9.985608100891113,9.991905212402344,1.198386520061307e-09,1.753844241164345e-09,3.022888682849948e-10,1.3292361525410021e-09,-1.63360049945128,0.17015061019492134,,1.75686602759587,0.9658619416377072,-1.1860610246658325,3.331728458404541,330.0,1.259807235607693,2.628086334179032,-18.42693238706338,0.5691953650947532,1.707573498050739e-07,-1.2408679760431844e-08,-1.8691519743946842e-09,480594642045.2228,6163578020488.722,0.01421343436033015,7.455081895395438,-1.2548947393530531e-08,1.8408363058161793e-07,2.694538948881174e-08,1.04,vp_beyond_range;not_saturated;te_nonexponential
33,down,580.4010009765625,18.0059814453125,1457,0,0,-9.978066444396973,9.992658615112305,1.2453550776044623e-09,1.8232024579883793e-09,-8.589575724139828e-09,5.111859423414075e-10,0.4748407878416541,0.17354750623050072,,2.187719896916836,0.9960896950576117,0.4812454879283905,4.585790157318115,300.0,1.9441199543751737,2.463346138317819,-18.72726990476092,0.45709690779395695,1.8502058467669745e-07,-1.3330143967530428e-08,-8.346843788544856e-09,466651893187.8542,5933563920903.733,0.01609602027253817,11.792431884513313,-1.3710530671014705e-08,1.814423594898895e-07,3.763388315193905e-08,1.04,vp_beyond_range;not_saturated
34,up,598.4140014648438,17.8380126953125,1457,0,0,-9.984100341796875,9.991905212402344,1.2135968914269906e-09,1.776238748074562e-09,6.412437878034342e-10,1.3655582970666882e-09,-1.5468559386125065,0.2759074699992175,,1.749371791029623,0.956958833572153,-1.088782548904419,3.3045811653137207,321.0,1.2102389696552014,2.8268060960429704,-18.363858519953364,0.5716337745513964,1.7899599631493694e-07,-1.229414872186359e-08,-1.4710781735357535e-09,504860157955.51746,6119755151853.435,0.013838043078150728,7.503057002631837,-1.2700740513895123e-08,1.930171201016813e-07,3.2677756694908985e-08,1.18,vp_beyond_range;not_saturated;te_nonexponential
35,down,616.2680053710938,17.85400390625,1457,0,0,-9.980329513549805,9.992658615112305,1.203885036748859e-09,1.7622905292053288e-09,-8.591166479993021e-09,4.459045207261254e-10,0.5248850551798273,0.21852578509470616,,2.212322810996991,0.9954926843462444,0.5370485186576843,4.738117218017578,307.0,1.9556161947539121,2.52149276540898,-18.729569166080967,0.4520136008313121,1.925395019167859e-07,-1.2773502581562855e-08,-8.357117861026755e-09,482908040711.62946,5654085807825.724,0.015911502756210723,11.969752830067081,-1.2839904642088566e-08,1.883197073280159e-07,4.460383629485852e-08,1.18,vp_beyond_range;not_saturated
36,up,634.1229858398438,17.92901611328125,1457,0,0,-9.983345985412598,9.993412971496582,1.194860676006228e-09,1.7487501852915217e-09,1.4460946587075994e-09,1.441100400550965e-09,-1.5098314206128107,0.2027728092564493,,1.7153380057893677,0.951981881624832,-0.8157997727394104,3.373203992843628,306.0,1.1575098219498854,2.693022621523444,-18.566986035235303,0.582975481581438,1.5793582166767208e-07,-1.2276744102529145e-08,-7.297240063019548e-10,449857153088.9116,6171418415607.901,0.014516325836285413,7.364016721219146,-1.3066375105732792e-08,1.7350413842140753e-07,2.5535818248167246e-08,1.4,vp_beyond_range;not_saturated;te_nonexponential
37,down,652.0709838867188,17.9530029296875,1457,0,0,-9.98259162902832,9.993412971496582,1.240392069156008e-09,1.8154566617529412e-09,-9.092357672852054e-09,1.3594427046893845e-10,1.2319667390220845,0.45743244191432353,6.893324375152588,2.2066266234546186,0.9982131830611654,1.2368496656417847,3.8580875396728516,192.0,2.0527627334696437,2.387111411890511,-19.06936463287568,0.4531804290634518,9.70283838983835e-08,-1.04396103982269e-08,-8.9248788532737e-09,243670644709.39148,4626968129960.67,0.022370824396668803,12.647366792056381,-1.0617243925333219e-08,1.7052538267532074e-07,3.991108397095191e-08,1.4,
38,up,670.0369873046875,17.885986328125,1457,0,0,-9.985608100891113,9.991905212402344,1.2487270279318414e-09,1.8275178083716167e-09,-2.0460135483360616e-09,7.774951229438829e-10,-0.9895980092424809,0.17011031418077577,,2.115904323416614,0.9750271288617853,-0.8120294213294983,3.538350820541382,318.0,1.5776431010564,2.9120527413309536,-18.737078535613797,0.47261116154121285,1.088748157458017e-07,-9.366784050758505e-09,-2.8154211741970663e-09,279221117855.4405,4239543917820.3394,0.020464118893547004,9.956474184852144,-1.0085475015819455e-08,1.1444736477805526e-07,1.968023949639536e-08,1.18,vp_beyond_range;not_saturated;te_nonexponential
39,down,687.9420166015625,17.81500244140625,1457,0,0,-9.978821754455566,9.992658615112305,1.2149845538316159e-09,1.7786726762483858e-09,-7.674891671103285e-09,2.2479270612538983e-10,1.4624578002703652,0.24970135276883643,,2.236408798992523,0.9928068857851937,1.470619559288025,4.958313941955566,255.0,1.9282720036699499,2.6820585346890926,-19.296761661719824,0.4471454415894306,1.1757628078972494e-07,-9.699298318141795e-09,-7.346141824586325e-09,293300608213.6182,4270132631740.0303,0.020527605008667855,13.031928072797719,-9.657847226045744e-09,1.1210511765518886e-07,2.7165953615983606e-08,1.18,vp_beyond_range;not_saturated;te_nonexponential
