timestamp,DAC,GSE_I,V1,I1,I2,V2
2026-09-17T13:37:02.441,4995.0,0.087875001,-1.232888,nan,1.9338042e-06,8.4852209
2026-09-17T13:37:02.453,5040.0,0.088375002,-1.230388,nan,1.9379015e-06,8.4724016
2026-09-17T13:37:02.533,5085.0,0.088625006,-1.228013,nan,1.9089166e-06,8.4580736
2026-09-17T13:37:02.554,5130.0,0.088562503,-1.2260129,nan,1.9146833e-06,8.4445
2026-09-17T13:37:02.566,5175.0,0.088062502,-1.2236381,nan,1.9348665e-06,8.4316807
2026-09-17T13:37:02.575,5220.0,0.087812506,-1.2212631,nan,1.9066404e-06,8.418107
2026-09-17T13:37:02.581,5265.0,0.086875007,-1.219013,nan,1.8899474e-06,8.4022703
2026-09-17T13:37:02.587,5310.0,0.087812506,-1.216638,nan,1.9114964e-06,8.389451
2026-09-17T13:37:02.595,5355.0,0.087750003,-1.214638,nan,1.9026947e-06,8.3758774
2026-09-17T13:37:02.603,5400.0,0.088062502,-1.212638,nan,1.8738615e-06,8.360795
2026-09-17T13:37:02.626,5445.0,0.088812508,-1.210013,nan,1.8809939e-06,8.3479757
2026-09-17T13:37:02.628,5490.0,0.087375008,-1.207763,nan,1.8969281e-06,8.3336477
2026-09-17T13:37:02.629,5535.0,0.087750003,-1.2053879,nan,1.8653633e-06,8.3208275
2026-09-17T13:37:02.629,5580.0,0.087750003,-1.2030129,nan,1.8521607e-06,8.3065004
2026-09-17T13:37:02.630,5625.0,0.087000005,-1.201263,nan,1.8732545e-06,8.2944345
2026-09-17T13:37:02.630,5670.0,0.087250002,-1.1988879,nan,1.8564098e-06,8.2793531
2026-09-17T13:37:02.631,5715.0,0.088312507,-1.195888,nan,1.8325843e-06,8.262763
2026-09-17T13:37:02.643,5760.0,0.087687507,-1.194638,nan,1.8488221e-06,8.2537136
2026-09-17T13:37:02.655,5805.0,0.088250004,-1.192013,nan,1.8597484e-06,8.2378778
2026-09-17T13:37:02.667,5850.0,0.0870625,-1.189388,nan,1.8303082e-06,8.2250576
2026-09-17T13:37:02.679,5895.0,0.086125001,-1.187263,nan,1.8275765e-06,8.2099762
2026-09-17T13:37:02.715,5940.0,0.087187506,-1.184888,nan,1.8482151e-06,8.1979103
2026-09-17T13:37:02.776,5985.0,0.087562501,-1.182138,nan,1.826059e-06,8.1820745
2026-09-17T13:37:02.794,6030.0,0.087687507,-1.1800131,nan,1.8104283e-06,8.1700087
2026-09-17T13:37:02.800,6075.0,0.088500001,-1.178763,nan,1.8315221e-06,8.1556807
2026-09-17T13:37:02.807,6120.0,0.086562507,-1.177138,nan,1.8381993e-06,8.1436157
2026-09-17T13:37:02.816,6165.0,0.087562501,-1.173763,nan,1.8098214e-06,8.1292877
2026-09-17T13:37:02.827,6210.0,0.087562501,-1.171388,nan,1.8110354e-06,8.1149597
2026-09-17T13:37:02.848,6255.0,0.086937502,-1.169138,nan,1.8300046e-06,8.1013861
2026-09-17T13:37:02.851,6300.0,0.086625002,-1.166513,nan,1.8019301e-06,8.0863037
2026-09-17T13:37:02.851,6345.0,0.087750003,-1.1643879,nan,1.7850855e-06,8.0734844
2026-09-17T13:37:02.852,6390.0,0.087312505,-1.162138,nan,1.8073933e-06,8.0606651
2026-09-17T13:37:02.852,6435.0,0.087250002,-1.159888,nan,1.8081521e-06,8.0478458
2026-09-17T13:37:02.853,6480.0,0.088375002,-1.157513,nan,1.7820504e-06,8.0327635
2026-09-17T13:37:02.853,6525.0,0.086500004,-1.155513,nan,1.788424e-06,8.0176821
2026-09-17T13:37:02.855,6570.0,0.087250002,-1.152513,nan,1.8040547e-06,8.0048618
2026-09-17T13:37:02.867,6615.0,0.086500004,-1.150888,nan,1.7787117e-06,7.9927964
2026-09-17T13:37:02.879,6660.0,0.086125001,-1.148638,nan,1.7620189e-06,7.9769607
2026-09-17T13:37:02.890,6705.0,0.085875005,-1.146138,nan,1.777346e-06,7.9633865
2026-09-17T13:37:02.903,6750.0,0.087125003,-1.144013,nan,1.7714276e-06,7.9513211
2026-09-17T13:37:02.979,6795.0,0.085562505,-1.141513,1.7487667e-06,1.7480576e-06,7.9362388
2026-09-17T13:37:02.998,6840.0,0.086937502,-1.139263,nan,1.7550382e-06,7.9226651
2026-09-17T13:37:03.018,6885.0,0.087125003,-1.137138,nan,1.7723381e-06,7.9075837
2026-09-17T13:37:03.025,6930.0,0.086312503,-1.1348881,1.7423895e-06,1.7425943e-06,7.8947639
2026-09-17T13:37:03.036,6975.0,0.086000003,-1.132763,1.7269018e-06,1.7260531e-06,7.8811898
2026-09-17T13:37:03.046,7020.0,0.085500002,-1.130263,1.7451226e-06,1.7442636e-06,7.8676162
2026-09-17T13:37:03.060,7065.0,0.086375006,-1.1281379,nan,1.7515479e-06,7.8532887
2026-09-17T13:37:03.072,7110.0,0.086562507,-1.125638,1.7259907e-06,1.7266601e-06,7.8404689
2026-09-17T13:37:03.073,7155.0,0.0870625,-1.123513,1.7250798e-06,1.7242321e-06,7.8268952
2026-09-17T13:37:03.073,7200.0,0.086687505,-1.121263,1.7451226e-06,1.7436566e-06,7.8125672
2026-09-17T13:37:03.074,7245.0,0.086812504,-1.118888,1.7305459e-06,1.7304541e-06,7.7982397
2026-09-17T13:37:03.074,7290.0,0.086750001,-1.117763,1.7068588e-06,1.706477e-06,7.7839117
2026-09-17T13:37:03.075,7335.0,0.087125003,-1.114388,1.7150583e-06,1.7146717e-06,7.7726002
2026-09-17T13:37:03.075,7380.0,0.086562507,-1.1125129,1.7360122e-06,1.7345513e-06,7.7605348
2026-09-17T13:37:03.086,7425.0,0.085937507,-1.109888,1.708681e-06,1.7072358e-06,7.7439451
2026-09-17T13:37:03.098,7470.0,0.086687505,-1.107638,1.6931932e-06,1.6926673e-06,7.730371
2026-09-17T13:37:03.110,7515.0,0.086312503,-1.105388,1.709592e-06,1.7102708e-06,7.716043
2026-09-17T13:37:03.123,7560.0,0.085500002,-1.102888,1.7232576e-06,1.7219558e-06,7.701715
2026-09-17T13:37:03.202,7605.0,0.087312505,-1.100638,1.6968374e-06,1.6961577e-06,7.6904039
2026-09-17T13:37:03.225,7650.0,0.086000003,-1.099013,1.6804387e-06,1.6808305e-06,7.6753216
2026-09-17T13:37:03.240,7695.0,0.087187506,-1.0962631,1.6922822e-06,1.6932744e-06,7.6602402
2026-09-17T13:37:03.246,7740.0,0.086812504,-1.093888,1.6995706e-06,1.6985858e-06,7.6481743
2026-09-17T13:37:03.255,7785.0,0.086250007,-1.091888,1.6777055e-06,1.6770367e-06,7.635355
2026-09-17T13:37:03.263,7830.0,0.085687503,-1.089888,1.6740614e-06,1.6755191e-06,7.621027
2026-09-17T13:37:03.279,7875.0,0.087437503,-1.087388,1.6895491e-06,1.689784e-06,7.6059451
2026-09-17T13:37:03.292,7920.0,0.086687505,-1.083263,1.6831718e-06,1.6803754e-06,7.5938797
2026-09-17T13:37:03.295,7965.0,0.086375006,-1.082638,1.6603957e-06,1.6600402e-06,7.5803061
2026-09-17T13:37:03.296,8010.0,0.086187504,-1.080763,1.6640399e-06,1.6645929e-06,7.5644693
2026-09-17T13:37:03.296,8055.0,0.086437501,-1.077888,1.6813497e-06,1.6796165e-06,7.5524039
2026-09-17T13:37:03.297,8100.0,0.086812504,-1.0756381,1.6576627e-06,1.6570052e-06,7.5388308
2026-09-17T13:37:03.298,8145.0,0.086437501,-1.073513,1.6421749e-06,1.6418297e-06,7.5267653
2026-09-17T13:37:03.298,8190.0,0.085500002,-1.071138,1.6613068e-06,1.6598885e-06,7.5124373
2026-09-17T13:37:03.306,8235.0,0.086000003,-1.069013,1.6713283e-06,1.6706631e-06,7.4981093
2026-09-17T13:37:03.318,8280.0,0.086937502,-1.065138,1.6476412e-06,1.6453203e-06,7.4845352
2026-09-17T13:37:03.330,8325.0,0.086125001,-1.064388,1.6348865e-06,1.6339386e-06,7.4702072
2026-09-17T13:37:03.342,8370.0,0.085437506,-1.062138,1.6512853e-06,1.650935e-06,7.4558802
2026-09-17T13:37:03.426,8415.0,0.084812507,-1.059513,1.6503743e-06,1.6500244e-06,7.442306
2026-09-17T13:37:03.444,8460.0,0.086125001,-1.0573879,1.6266872e-06,1.6266544e-06,7.427978
2026-09-17T13:37:03.464,8505.0,0.086125001,-1.055263,1.622132e-06,1.6222535e-06,7.4151583
2026-09-17T13:37:03.469,8550.0,0.085687503,-1.053138,1.6339756e-06,1.6342422e-06,7.4008307
2026-09-17T13:37:03.477,8595.0,0.084812507,-1.0506381,1.6203099e-06,1.6196738e-06,7.3872571
2026-09-17T13:37:03.487,8640.0,0.086500004,-1.048388,1.601178e-06,1.6000974e-06,7.3736835
2026-09-17T13:37:03.502,8685.0,0.085687503,-1.046638,1.6093774e-06,1.610265e-06,7.3631263
2026-09-17T13:37:03.521,8730.0,0.085437506,-1.043763,1.6203099e-06,1.620129e-06,7.3457818
2026-09-17T13:37:03.523,8775.0,0.087000005,-1.0417631,1.5929787e-06,1.5928133e-06,7.3329625
2026-09-17T13:37:03.524,8820.0,0.085187502,-1.039513,1.5738469e-06,1.5721748e-06,7.3186345
2026-09-17T13:37:03.524,8865.0,0.085250005,-1.0370131,1.5866015e-06,1.5853774e-06,7.304307
2026-09-17T13:37:03.525,8910.0,0.085375004,-1.034888,1.5957118e-06,1.5955449e-06,7.2907329
2026-09-17T13:37:03.525,8955.0,0.085625008,-1.032513,1.5729358e-06,1.5717195e-06,7.2779136
2026-09-17T13:37:03.526,9000.0,0.086937502,-1.030138,1.5610923e-06,1.5609451e-06,7.2635856
2026-09-17T13:37:03.526,9045.0,0.084562503,-1.028263,1.5784021e-06,1.577031e-06,7.2500114
2026-09-17T13:37:03.538,9090.0,0.086500004,-1.025763,1.57658e-06,1.5758168e-06,7.2371917
2026-09-17T13:37:03.550,9135.0,0.084937505,-1.023388,1.554715e-06,1.5530538e-06,7.2236185
2026-09-17T13:37:03.562,9180.0,0.085000001,-1.0211381,1.5492487e-06,1.54926e-06,7.2077823
2026-09-17T13:37:03.575,9225.0,0.084500007,-1.018888,1.5647364e-06,1.5647388e-06,7.1957169
2026-09-17T13:37:03.652,9270.0,0.085125007,-1.016638,1.5510708e-06,1.5503222e-06,7.1813889
2026-09-17T13:37:03.676,9315.0,0.084625006,-1.014513,1.5310279e-06,1.5334775e-06,7.1678147
2026-09-17T13:37:03.691,9360.0,0.085062504,-1.0120131,1.5446935e-06,1.5439485e-06,7.1542416
2026-09-17T13:37:03.697,9405.0,0.085375004,-1.010013,1.5656475e-06,1.564587e-06,7.1414218
2026-09-17T13:37:03.707,9450.0,0.084625006,-1.008388,1.5374052e-06,1.5381819e-06,7.1270938
2026-09-17T13:37:03.718,9495.0,0.084562503,-1.005263,1.5200955e-06,1.5199714e-06,7.1127658
2026-09-17T13:37:03.743,9540.0,0.085187502,-1.0040131,1.5374052e-06,1.5380301e-06,7.0991926
2026-09-17T13:37:03.744,9585.0,0.084812507,-1.000638,1.5456046e-06,1.5448591e-06,7.0841107
2026-09-17T13:37:03.745,9630.0,0.085937507,-0.9983881,1.5210064e-06,1.5207302e-06,7.0727992
2026-09-17T13:37:03.745,9675.0,0.085687503,-0.996013,1.511896e-06,1.5114732e-06,7.0577168
2026-09-17T13:37:03.746,9720.0,0.085812502,-0.9950131,1.5292059e-06,1.5292285e-06,7.044898
2026-09-17T13:37:03.746,9765.0,0.084625006,-0.9916381,1.5255616e-06,1.5251311e-06,7.03057
2026-09-17T13:37:03.747,9810.0,0.085250005,-0.9892631,1.5046077e-06,1.5041891e-06,7.0177503
2026-09-17T13:37:03.747,9855.0,0.084562503,-0.987013,1.5046077e-06,1.5044925e-06,7.0026679
2026-09-17T13:37:03.758,9900.0,0.084312506,-0.984763,1.5182733e-06,1.5179987e-06,6.9890947
2026-09-17T13:37:03.770,9945.0,0.084000006,-0.9835131,1.5027856e-06,1.5025197e-06,6.9747667
2026-09-17T13:37:03.782,9990.0,0.084687501,-0.980388,1.48912e-06,1.4874961e-06,6.961947
2026-09-17T13:37:03.794,10035.0,0.083937503,-0.9782631,1.5000525e-06,1.4990294e-06,6.9483733
2026-09-17T13:37:03.847,10080.0,0.085125007,-0.975513,1.5146292e-06,1.5148117e-06,6.933291
2026-09-17T13:37:03.886,10125.0,0.085500002,-0.9735131,1.4936752e-06,1.4937179e-06,6.9204721
2026-09-17T13:37:03.906,10170.0,0.084812507,-0.971388,1.4800096e-06,1.4797566e-06,6.9084058
2026-09-17T13:37:03.914,10215.0,0.085125007,-0.968888,1.4927641e-06,1.4922005e-06,6.89257
2026-09-17T13:37:03.922,10260.0,0.083937503,-0.9671381,1.5046077e-06,1.5046443e-06,6.8805046
2026-09-17T13:37:03.933,10305.0,0.084687501,-0.9626381,1.4818316e-06,1.4788461e-06,6.8654222
2026-09-17T13:37:03.953,10350.0,0.084500007,-0.9626381,1.4718102e-06,1.471562e-06,6.8541112
2026-09-17T13:37:03.964,10395.0,0.085500002,-0.9597631,1.48912e-06,1.4881032e-06,6.8390293
2026-09-17T13:37:03.965,10440.0,0.085437506,-0.956763,1.4927641e-06,1.490683e-06,6.8247013
2026-09-17T13:37:03.965,10485.0,0.084500007,-0.9552631,1.4672549e-06,1.4688304e-06,6.811882
2026-09-17T13:37:03.966,10530.0,0.085562505,-0.951638,1.468166e-06,1.4665541e-06,6.7960453
2026-09-17T13:37:03.966,10575.0,0.083812505,-0.9506381,1.4818316e-06,1.4803637e-06,6.7832265
2026-09-17T13:37:03.967,10620.0,0.084812507,-0.948263,1.4690771e-06,1.4676164e-06,6.7688985
2026-09-17T13:37:03.967,10665.0,0.084125005,-0.946138,1.4508562e-06,1.4498611e-06,6.754571
2026-09-17T13:37:03.978,10710.0,0.084437504,-0.9438881,1.4545004e-06,1.4545656e-06,6.7425056
2026-09-17T13:37:03.990,10755.0,0.085000001,-0.9413881,1.4690771e-06,1.4679198e-06,6.7281775
2026-09-17T13:37:04.002,10800.0,0.084937505,-0.939388,1.4481232e-06,1.4472813e-06,6.7161112
2026-09-17T13:37:04.014,10845.0,0.084250003,-0.9373881,1.4308133e-06,1.4316507e-06,6.7032924
2026-09-17T13:37:04.033,10890.0,0.084562503,-0.9350131,1.4426569e-06,1.44197e-06,6.6889644
2026-09-17T13:37:04.092,10935.0,0.085187502,-0.9323881,1.4517673e-06,1.4516822e-06,6.6731286
2026-09-17T13:37:04.113,10980.0,0.084437504,-0.9300131,1.4271692e-06,1.4264911e-06,6.6610622
2026-09-17T13:37:04.133,11025.0,0.083875,-0.927888,1.4107704e-06,1.4093429e-06,6.6452265
2026-09-17T13:37:04.140,11070.0,0.083875,-0.926138,1.422614e-06,1.423456e-06,6.6308985
2026-09-17T13:37:04.147,11115.0,0.083937503,-0.9241381,1.4317244e-06,1.4328647e-06,6.6180797
2026-09-17T13:37:04.157,11160.0,0.085562505,-0.9208881,1.4107704e-06,1.4087359e-06,6.6037517
2026-09-17T13:37:04.182,11205.0,0.084750004,-0.918763,1.40166e-06,1.4028175e-06,6.5916858
2026-09-17T13:37:04.187,11250.0,0.084687501,-0.917013,1.4207918e-06,1.4201173e-06,6.5773578
2026-09-17T13:37:04.188,11295.0,0.084875003,-0.9136381,1.4125925e-06,1.4128332e-06,6.5630298
2026-09-17T13:37:04.189,11340.0,0.084125005,-0.9118881,1.3925496e-06,1.3928017e-06,6.5494566
2026-09-17T13:37:04.189,11385.0,0.083687507,-0.909763,1.3971048e-06,1.3958368e-06,6.5358829
2026-09-17T13:37:04.190,11430.0,0.084250003,-0.9077631,1.4089483e-06,1.4084324e-06,6.5223088
2026-09-17T13:37:04.190,11475.0,0.083062507,-0.9053881,1.3952827e-06,1.3940157e-06,6.5079808
2026-09-17T13:37:04.198,11520.0,0.083562501,-0.9030131,1.3788839e-06,1.3780815e-06,6.495162
2026-09-17T13:37:04.210,11565.0,0.082750008,-0.900638,1.3879943e-06,1.3879455e-06,6.480834
2026-09-17T13:37:04.224,11610.0,0.084312506,-0.898138,1.402571e-06,1.4013e-06,6.466506
2026-09-17T13:37:04.236,11655.0,0.084125005,-0.8961381,1.3807061e-06,1.3814201e-06,6.4544406
2026-09-17T13:37:04.274,11700.0,0.082875006,-0.8937631,1.3633962e-06,1.3622991e-06,6.4401131
2026-09-17T13:37:04.340,11745.0,0.082687505,-0.8912631,1.3734177e-06,1.373529e-06,6.4257851
2026-09-17T13:37:04.355,11790.0,0.083437502,-0.889138,1.3825281e-06,1.3829376e-06,6.4122109
2026-09-17T13:37:04.361,11835.0,0.084187508,-0.8872631,1.3579299e-06,1.3595676e-06,6.3986373
2026-09-17T13:37:04.370,11880.0,0.084062502,-0.8846381,1.3497306e-06,1.3495519e-06,6.3843093
2026-09-17T13:37:04.379,11925.0,0.084562503,-0.882638,1.3661294e-06,1.3663965e-06,6.3737521
2026-09-17T13:37:04.406,11970.0,0.084187508,-0.880263,1.3643073e-06,1.3653342e-06,6.357162
2026-09-17T13:37:04.408,12015.0,0.084062502,-0.8780131,1.3442643e-06,1.3439369e-06,6.3435884
2026-09-17T13:37:04.409,12060.0,0.084062502,-0.8748881,1.3415312e-06,1.3415089e-06,6.3300142
2026-09-17T13:37:04.410,12105.0,0.082687505,-0.8732631,1.3533747e-06,1.3515247e-06,6.3156872
2026-09-17T13:37:04.410,12150.0,0.082687505,-0.871013,1.3424423e-06,1.3422676e-06,6.3028674
2026-09-17T13:37:04.411,12195.0,0.082687505,-0.868763,1.3242216e-06,1.3243607e-06,6.2892933
2026-09-17T13:37:04.411,12240.0,0.083625004,-0.866388,1.3287768e-06,1.3281546e-06,6.2742114
2026-09-17T13:37:04.412,12285.0,0.083812505,-0.8641381,1.3415312e-06,1.3402948e-06,6.2613916
2026-09-17T13:37:04.420,12330.0,0.083000004,-0.862138,1.3223994e-06,1.3229949e-06,6.2470636
2026-09-17T13:37:04.432,12375.0,0.082750008,-0.859513,1.3096449e-06,1.3088818e-06,6.2334905
2026-09-17T13:37:04.444,12420.0,0.082937501,-0.8576381,1.3214884e-06,1.3222361e-06,6.2206707
2026-09-17T13:37:04.456,12465.0,0.084000006,-0.855388,1.336065e-06,1.3378668e-06,6.2078509
2026-09-17T13:37:04.540,12510.0,0.082625002,-0.8526381,1.313289e-06,1.3117651e-06,6.1905069
2026-09-17T13:37:04.572,12555.0,0.082812503,-0.849888,1.3014454e-06,1.2999283e-06,6.1791949
2026-09-17T13:37:04.580,12600.0,0.083000004,-0.848263,1.3151111e-06,1.3141931e-06,6.1656218
2026-09-17T13:37:04.587,12645.0,0.084187508,-0.845763,1.3196664e-06,1.3188976e-06,6.1505394
2026-09-17T13:37:04.597,12690.0,0.081937507,-0.843888,1.2968902e-06,1.2961344e-06,6.1362114
2026-09-17T13:37:04.618,12735.0,0.082937501,-0.841638,1.2932461e-06,1.2917336e-06,6.1233926
2026-09-17T13:37:04.630,12780.0,0.082812503,-0.8393881,1.3050897e-06,1.3059985e-06,6.1113262
2026-09-17T13:37:04.631,12825.0,0.083437502,-0.836013,1.2996234e-06,1.2988661e-06,6.0962448
2026-09-17T13:37:04.631,12870.0,0.083937503,-0.835138,1.2823136e-06,1.2827802e-06,6.0849333
2026-09-17T13:37:04.632,12915.0,0.083312504,-0.832388,1.2823136e-06,1.2821731e-06,6.0698514
2026-09-17T13:37:04.632,12960.0,0.083062507,-0.830013,1.2950682e-06,1.2946169e-06,6.057786
2026-09-17T13:37:04.633,13005.0,0.083125003,-0.8278881,1.2823136e-06,1.2824765e-06,6.0427041
2026-09-17T13:37:04.633,13050.0,0.082562506,-0.825388,1.2659149e-06,1.265632e-06,6.0268679
2026-09-17T13:37:04.634,13095.0,0.083250001,-0.8231381,1.2722921e-06,1.2732196e-06,6.0140481
2026-09-17T13:37:04.640,13140.0,0.0824375,-0.8207631,1.2859578e-06,1.2862705e-06,6.0004749
2026-09-17T13:37:04.652,13185.0,0.083375007,-0.818763,1.2650038e-06,1.2653284e-06,5.9876552
2026-09-17T13:37:04.664,13230.0,0.082125001,-0.816013,1.2476941e-06,1.2466627e-06,5.9725728
2026-09-17T13:37:04.676,13275.0,0.083937503,-0.8140131,1.2604486e-06,1.260017e-06,5.9597535
2026-09-17T13:37:04.710,13320.0,0.083500005,-0.811763,1.2677369e-06,1.2691223e-06,5.9446712
